"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_8000","finished","-","","","2025-09-10T13:26:02.000Z","28","","8","8000","42","6","0.09740000218153","2.3197317123413086","2.30480432510376","750","0.10080000013113022","2.3209288120269775"
"sample_47000","finished","-","","","2025-09-10T13:32:07.000Z","163","","8","47000","42","10","0.11349999904632568","2.296442985534668","2.2960093021392822","7350","0.1103999987244606","2.2970516681671143"
"sample_8000","finished","-","","","2025-09-09T16:10:34.000Z","131","","1024","8000","0","11","0.12110000103712082","2.2982354164123535","2.2967841625213623","1375","0.12139999866485596","2.298452615737915"
"sample_8000","finished","-","","","2025-09-10T14:26:33.000Z","35","","256","8000","42","6","0.08919999748468399","2.303293228149414","2.303816556930542","750","0.08420000225305557","2.303936243057251"
"sample_25000","finished","-","","","2025-09-09T11:56:53.000Z","128","","64","25000","0","8","0.11349999904632568","2.299724578857422","2.293221235275269","3128","0.11020000278949738","2.299553871154785"
"sample_47000","finished","-","","","2025-09-10T13:55:24.000Z","108","","32","47000","42","6","0.09799999743700027","2.297625780105591","2.2882392406463623","4410","0.09640000015497208","2.2974119186401367"
"sample_55000","finished","-","","","2025-09-09T11:09:53.000Z","153","","8","55000","0","6","0.10100000351667404","2.2976698875427246","2.288123846054077","5160","0.1005999967455864","2.295557737350464"
"sample_12000","finished","-","","","2025-09-09T11:13:21.000Z","53","","16","12000","0","6","0.0957999974489212","2.305652618408203","2.321535348892212","1128","0.10360000282526016","2.3055648803710938"
"sample_47000","finished","-","","","2025-09-10T14:06:30.000Z","205","","64","47000","42","12","0.11869999766349792","2.286435127258301","2.2873833179473877","8820","0.11460000276565552","2.2859086990356445"
"sample_25000","finished","-","","","2025-09-10T02:19:17.000Z","126","","512","25000","1","8","0.11349999904632568","2.2941079139709473","2.287795305252075","3128","0.11140000075101852","2.294243335723877"
"sample_8000","finished","-","","","2025-09-09T11:34:27.000Z","51","","32","8000","0","6","0.0982000008225441","2.3041014671325684","2.3205454349517822","750","0.09600000083446504","2.3049776554107666"
"sample_47000","finished","-","","","2025-09-10T13:43:22.000Z","103","","16","47000","42","6","0.0982000008225441","2.3062310218811035","2.309558153152466","4410","0.09920000284910202","2.305277109146118"
"sample_55000","finished","-","","","2025-09-10T12:19:56.000Z","3965","","1024","55000","1","113","0.96069997549057","0.13799208402633667","0.1219065710902214","97180","0.9534000158309937","0.15244042873382568"
"sample_55000","finished","-","","","2025-09-10T01:24:51.000Z","120","","16","55000","1","6","0.10320000350475313","2.3025457859039307","2.291195869445801","5160","0.09619999676942824","2.3050496578216553"
"sample_25000","finished","-","","","2025-09-10T13:51:11.000Z","65","","32","25000","42","6","0.09799999743700027","2.300795793533325","2.298102855682373","2346","0.09640000015497208","2.300692081451416"
"sample_55000","finished","-","","","2025-09-10T07:52:12.000Z","163","","512","55000","1","6","0.14959999918937683","2.2866156101226807","2.299210786819458","5160","0.14579999446868896","2.287104606628418"
"sample_12000","finished","-","","","2025-09-10T01:59:19.000Z","126","","256","12000","1","19","0.17479999363422394","2.296499252319336","2.3008131980895996","3572","0.16699999570846558","2.296680450439453"
"sample_25000","finished","-","","","2025-09-10T01:19:01.000Z","60","","16","25000","1","6","0.10320000350475313","2.307290315628052","2.320276975631714","2346","0.09619999676942824","2.3104007244110107"
"sample_32000","finished","-","","","2025-09-09T12:54:31.000Z","292","","512","32000","0","11","0.1169999986886978","2.289724826812744","2.284949541091919","5500","0.11299999803304672","2.290578842163086"
"sample_47000","finished","-","","","2025-09-10T01:14:14.000Z","96","","8","47000","1","6","0.09740000218153","2.3100178241729736","2.3019280433654785","4410","0.10000000149011612","2.313260078430176"
"sample_40000","finished","-","","","2025-09-10T16:18:20.000Z","289","","1024","40000","42","8","0.2612000107765198","2.283346652984619","2.28159499168396","5000","0.24160000681877136","2.2836661338806152"
"sample_25000","finished","-","","","2025-09-09T12:29:33.000Z","126","","256","25000","0","6","0.10289999842643738","2.2996649742126465","2.295724391937256","2346","0.10239999741315842","2.3004536628723145"
"sample_32000","finished","-","","","2025-09-09T11:59:06.000Z","146","","64","32000","0","7","0.11349999904632568","2.299297571182251","2.288809061050415","3500","0.11020000278949738","2.299138307571411"
"sample_8000","finished","-","","","2025-09-10T01:44:30.000Z","22","","128","8000","1","6","0.08879999816417694","2.3040518760681152","2.2932639122009277","750","0.08860000222921371","2.305144786834717"
"sample_40000","finished","-","","","2025-09-09T11:17:40.000Z","127","","16","40000","0","6","0.0957999974489212","2.2947089672088623","2.2972347736358643","3750","0.10360000282526016","2.2949254512786865"
"sample_12000","finished","-","","","2025-09-10T01:27:32.000Z","37","","32","12000","1","6","0.10279999673366548","2.3050241470336914","2.308490514755249","1128","0.11100000143051147","2.303530693054199"
"sample_40000","finished","-","","","2025-09-09T12:34:04.000Z","267","","256","40000","0","11","0.1186000034213066","2.289801836013794","2.29540491104126","6875","0.11500000208616255","2.2909834384918213"
"sample_47000","finished","-","","","2025-09-10T01:31:09.000Z","70","","32","47000","1","6","0.10279999673366548","2.299424171447754","2.290595769882202","4410","0.11100000143051147","2.2989110946655273"
"sample_8000","finished","-","","","2025-09-10T14:13:45.000Z","69","","128","8000","42","14","0.1404000073671341","2.2992477416992188","2.2984187602996826","1750","0.13740000128746033","2.299611806869507"
"sample_40000","finished","-","","","2025-09-10T07:34:47.000Z","135","","512","40000","1","7","0.1298999935388565","2.2899460792541504","2.28761625289917","4375","0.12540000677108765","2.290234327316284"
"sample_40000","finished","-","","","2025-09-10T01:39:13.000Z","91","","64","40000","1","9","0.17990000545978546","2.2928853034973145","2.2860281467437744","5625","0.17239999771118164","2.2938072681427"
"sample_8000","finished","-","","","2025-09-10T13:37:55.000Z","30","","16","8000","42","6","0.0982000008225441","2.313217878341675","2.3086578845977783","750","0.09920000284910202","2.3121209144592285"
"sample_8000","finished","-","","","2025-09-10T15:14:05.000Z","229","","1024","8000","42","23","0.2962999939918518","2.2933261394500732","2.2932560443878174","2875","0.2863999903202057","2.293438673019409"
"sample_47000","finished","-","","","2025-09-09T11:42:38.000Z","306","","32","47000","0","12","0.1339000016450882","2.28849458694458","2.3042428493499756","8820","0.13179999589920044","2.2896809577941895"
"sample_32000","finished","-","","","2025-09-10T01:20:06.000Z","73","","16","32000","1","6","0.10320000350475313","2.306039333343506","2.3142640590667725","3000","0.09619999676942824","2.3089511394500732"
"sample_12000","finished","-","","","2025-09-09T16:12:50.000Z","185","","1024","12000","0","12","0.11760000139474867","2.2948532104492188","2.296778678894043","2256","0.11479999870061874","2.295348882675171"
"sample_32000","finished","-","","","2025-09-10T02:04:04.000Z","165","","256","32000","1","12","0.14659999310970306","2.291377067565918","2.293874502182007","6000","0.1379999965429306","2.2916882038116455"
"sample_55000","finished","-","","","2025-09-10T13:34:55.000Z","175","","8","55000","42","9","0.11349999904632568","2.295293092727661","2.291931390762329","7740","0.1103999987244606","2.295947790145874"
"sample_55000","finished","-","","","2025-09-09T11:47:50.000Z","333","","32","55000","0","11","0.12870000302791595","2.286252975463867","2.283545732498169","9460","0.1257999986410141","2.287410259246826"
"sample_25000","finished","-","","","2025-09-10T01:28:15.000Z","46","","32","25000","1","6","0.10279999673366548","2.3028719425201416","2.307995080947876","2346","0.11100000143051147","2.3017737865448"
"sample_55000","finished","-","","","2025-09-09T23:47:53.000Z","4901","","1024","55000","0","146","0.9679999947547911","0.11015351861715315","0.014813984744250774","125560","0.9639999866485596","0.11683756113052368"
"sample_25000","finished","-","","","2025-09-09T16:16:00.000Z","251","","1024","25000","0","9","0.16760000586509705","2.2897307872772217","2.2916109561920166","3519","0.16140000522136688","2.2903151512145996"
