"Name","State","Created","Runtime","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_47000","finished","2025-09-15T18:18:41.000Z","269","256","47000","1","10","0.22059999406337735","2.28438949584961","2.283752202987671","7350","0.22460000216960907","2.2851359844207764"
"sample_40000","finished","2025-09-15T18:14:05.000Z","270","256","40000","1","12","0.2386000007390976","2.2838730812072754","2.2798049449920654","7500","0.24300000071525577","2.284668445587158"
"sample_32000","finished","2025-09-15T18:10:16.000Z","224","256","32000","1","12","0.20360000431537628","2.28867769241333","2.2894833087921143","6000","0.20419999957084656","2.289292097091675"
"sample_25000","finished","2025-09-15T18:06:46.000Z","203","256","25000","1","13","0.18490000069141388","2.2911217212677","2.289466142654419","5083","0.18140000104904175","2.2916905879974365"
"sample_12000","finished","2025-09-15T18:05:36.000Z","65","256","12000","1","6","0.10119999945163728","2.299844741821289","2.300046443939209","1128","0.09000000357627869","2.3001911640167236"
"sample_8000","finished","2025-09-15T18:04:41.000Z","49","256","8000","1","6","0.10100000351667404","2.300689935684204","2.29752516746521","750","0.09000000357627869","2.3010613918304443"
"sample_55000","finished","2025-09-15T18:00:09.000Z","266","128","55000","1","10","0.11349999904632568","2.292922258377075","2.3094382286071777","8600","0.11140000075101852","2.2932426929473877"
"sample_47000","finished","2025-09-15T17:55:48.000Z","255","128","47000","1","11","0.11389999836683272","2.293616533279419","2.286989450454712","8085","0.11180000007152556","2.2936978340148926"
"sample_40000","finished","2025-09-15T17:51:47.000Z","236","128","40000","1","12","0.11829999834299088","2.2942914962768555","2.29091739654541","7500","0.1169999986886978","2.2943344116210938"
"sample_32000","finished","2025-09-15T17:47:55.000Z","227","128","32000","1","14","0.11599999666213988","2.294849395751953","2.297605514526367","7000","0.11540000140666962","2.294769763946533"
"sample_25000","finished","2025-09-15T17:46:27.000Z","83","128","25000","1","6","0.10279999673366548","2.2997310161590576","2.2959437370300293","2346","0.11100000143051147","2.2988107204437256"
"sample_12000","finished","2025-09-15T17:45:33.000Z","50","128","12000","1","6","0.10279999673366548","2.3012619018554688","2.299283504486084","1128","0.11100000143051147","2.299962997436523"
"sample_8000","finished","2025-09-15T17:44:49.000Z","41","128","8000","1","6","0.10279999673366548","2.301758289337158","2.312664270401001","750","0.11100000143051147","2.3003790378570557"
"sample_55000","finished","2025-09-15T17:39:40.000Z","307","64","55000","1","13","0.1137000024318695","2.2966673374176025","2.3037030696868896","11180","0.11159999668598176","2.2972614765167236"
"sample_47000","finished","2025-09-15T17:34:46.000Z","292","64","47000","1","14","0.1143999993801117","2.2972705364227295","2.305116653442383","10290","0.1120000034570694","2.2976560592651367"
"sample_40000","finished","2025-09-15T17:29:37.000Z","307","64","40000","1","17","0.11670000106096268","2.297102689743042","2.292962074279785","10625","0.11460000276565552","2.2975308895111084"
"sample_32000","finished","2025-09-15T17:27:36.000Z","119","64","32000","1","8","0.10300000011920928","2.3024744987487793","2.297853469848633","4000","0.10499999672174454","2.3026914596557617"
"sample_25000","finished","2025-09-15T17:26:09.000Z","85","64","25000","1","7","0.10010000318288804","2.304121732711792","2.3021836280822754","2737","0.10260000079870224","2.304293632507324"
"sample_12000","finished","2025-09-15T17:25:07.000Z","60","64","12000","1","8","0.1023000031709671","2.30644154548645","2.2994675636291504","1504","0.10540000349283218","2.306504964828491"
"sample_8000","finished","2025-09-15T17:23:59.000Z","66","64","8000","1","11","0.1039000004529953","2.3068888187408447","2.288454532623291","1375","0.10499999672174454","2.306995391845703"
"sample_55000","finished","2025-09-15T17:21:47.000Z","130","32","55000","1","6","0.10279999673366548","2.302154064178467","2.3094258308410645","5160","0.11100000143051147","2.3009636402130127"
"sample_47000","finished","2025-09-15T17:19:57.000Z","108","32","47000","1","6","0.10279999673366548","2.302739143371582","2.2895612716674805","4410","0.11100000143051147","2.301259994506836"
"sample_40000","finished","2025-09-15T17:18:25.000Z","91","32","40000","1","6","0.10279999673366548","2.3031983375549316","2.298914670944214","3750","0.11100000143051147","2.3015708923339844"
"sample_32000","finished","2025-09-15T17:17:08.000Z","76","32","32000","1","6","0.10279999673366548","2.3037984371185303","2.298475980758667","3000","0.11100000143051147","2.301935911178589"
"sample_25000","finished","2025-09-15T16:52:02.000Z","91","32","25000","1","6","0.10279999673366548","2.304349422454834","2.302765369415283","2346","0.11100000143051147","2.302302122116089"
"sample_12000","finished","2025-09-15T16:50:54.000Z","63","32","12000","1","6","0.10279999673366548","2.30582332611084","2.304368734359741","1128","0.11100000143051147","2.3033249378204346"
"sample_8000","finished","2025-09-15T16:50:03.000Z","45","32","8000","1","6","0.10279999673366548","2.3063435554504395","2.303485870361328","750","0.11100000143051147","2.3037359714508057"
"sample_55000","finished","2025-09-15T16:46:12.000Z","225","16","55000","1","8","0.09359999746084212","2.300849437713623","2.3020479679107666","6880","0.09759999811649324","2.3010432720184326"
"sample_47000","finished","2025-09-15T16:42:48.000Z","199","16","47000","1","8","0.10279999673366548","2.3015286922454834","2.2985217571258545","5880","0.11100000143051147","2.301532506942749"
"sample_40000","finished","2025-09-15T16:39:40.000Z","182","16","40000","1","8","0.10279999673366548","2.3022913932800293","2.3001599311828613","5000","0.11100000143051147","2.302267074584961"
"sample_32000","finished","2025-09-15T16:36:44.000Z","170","16","32000","1","9","0.10279999673366548","2.3027336597442627","2.2975075244903564","4500","0.11100000143051147","2.302623748779297"
"sample_25000","finished","2025-09-15T16:34:12.000Z","147","16","25000","1","10","0.10279999673366548","2.303399085998535","2.313498020172119","3910","0.11100000143051147","2.3032610416412354"
"sample_12000","finished","2025-09-15T16:32:48.000Z","78","16","12000","1","9","0.08009999990463257","2.307924509048462","2.298811674118042","1692","0.08739999681711197","2.307483434677124"
"sample_8000","finished","2025-09-15T16:30:38.000Z","125","16","8000","1","19","0.10170000046491624","2.3063788414001465","2.3005926609039307","2375","0.1071999967098236","2.3060860633850098"
"sample_55000","finished","2025-09-15T16:27:21.000Z","192","8","55000","1","7","0.11349999904632568","2.301564931869507","2.323089361190796","6020","0.11140000075101852","2.300539255142212"
"sample_47000","finished","2025-09-15T16:24:06.000Z","190","8","47000","1","8","0.11349999904632568","2.301745653152466","2.292332649230957","5880","0.11140000075101852","2.3005402088165283"
"sample_40000","finished","2025-09-15T16:21:19.000Z","162","8","40000","1","8","0.11349999904632568","2.302255630493164","2.3152825832366943","5000","0.11140000075101852","2.3008596897125244"
"sample_32000","finished","2025-09-15T16:18:42.000Z","152","8","32000","1","9","0.11349999904632568","2.3027806282043457","2.305056571960449","4500","0.11140000075101852","2.3011937141418457"
"sample_25000","finished","2025-09-15T16:16:32.000Z","124","8","25000","1","9","0.11349999904632568","2.303710460662842","2.3086111545562744","3519","0.11140000075101852","2.3018369674682617"
"sample_12000","finished","2025-09-15T16:14:37.000Z","110","8","12000","1","14","0.11349999904632568","2.305112600326538","2.2972898483276367","2632","0.11140000075101852","2.302870988845825"
