run_id,run_name,test_accuracy,sample_size,layer_structure,temp,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
is9mbt1n,sample_32000,0.10100000351667404,1000,"(16, 16, 16)",16,16,16,16,16,10,-0.00010267425,-0.01350288,-0.010246346,-0.0062012104,0.0023302913,0.049891256,0.14409558,0.14418757,0.15152355,0.13878402,0.13346032798290253,0.13257089257240295,0.5025328
qbzyy9vj,sample_40000,0.10100000351667404,1000,"(16, 16, 16)",16,16,16,16,16,10,-0.00010267425,-0.013484582,-0.010263509,-0.0062280055,0.002330292,0.049891256,0.14408632,0.14417659,0.15151207,0.1387552,0.133320152759552,0.13246673345565796,0.50258076
oq7u8de5,sample_47000,0.10100000351667404,1000,"(16, 16, 16)",16,16,16,16,16,10,-0.00010267425,-0.013468508,-0.010280754,-0.0062514096,0.0023302943,0.049891256,0.14407791,0.14416657,0.15150131,0.13873197,0.1331927627325058,0.1323787420988083,0.5026266
fi5jrcpa,sample_55000,0.10050000250339508,1000,"(16, 16, 16)",16,16,16,16,16,10,-0.00010267425,-0.013451152,-0.010295924,-0.0062748166,0.0023302913,0.049891256,0.14406987,0.1441569,0.15149151,0.13870867,0.13306449353694916,0.13228704035282135,0.50267637
gfl4yoz7,sample_8000,0.1728000044822693,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00011854429,-0.0055751004,0.001600855,0.00022357085,-0.001452635,0.049625594,0.10236019,0.100171834,0.1013125,0.1013714,0.10161052644252777,0.11043111234903336,0.3907951
n50prlmt,sample_12000,0.33739998936653137,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00011854429,-0.005637287,0.00334645,0.0007895444,-0.001452591,0.049625594,0.10466133,0.10273498,0.10409173,0.11117636,0.14091786742210388,0.13370034098625183,0.4979242
9heukjm0,sample_25000,0.1152999997138977,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00011854429,-0.005590611,0.001545161,0.00022539729,-0.001452649,0.049625594,0.10230511,0.1000955,0.10121379,0.100945845,0.100331611931324,0.10958527028560638,0.3849003
9dtqtl1t,sample_32000,0.1169999986886978,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00011854429,-0.0055886484,0.0015432604,0.00022218388,-0.0014526478,0.049625594,0.102308355,0.100101024,0.101222664,0.100977056,0.10042321681976318,0.10964415967464447,0.38552868
t4cwe5px,sample_40000,0.8029000163078308,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00011854429,-0.008932712,0.024843864,0.021857629,-0.0014524616,0.049625594,0.18721889,0.1863971,0.18901868,0.31291202,0.47260552644729614,0.33466586470603943,0.4526158
bys12qxr,sample_47000,0.9706000089645386,1000,"(1024, 1024, 1024)",1024,784,1024,1024,1023,10,1.6459173e-05,-3.3889948e-05,0.00065212947,0.00054886675,1.2064935e-05,0.033252895,0.018733183,0.018733112,0.018746788,0.055026665,0.21934139728546143,0.17609815299510956,0.3195824
